id;municipality;name
10101;101;Agadão - Águeda - Aveiro
10102;101;Aguada de Baixo - Águeda - Aveiro
10103;101;Aguada de Cima - Águeda - Aveiro
10104;101;Águeda - Águeda - Aveiro
10105;101;Barrô - Águeda - Aveiro
10106;101;Belazaima do Chão - Águeda - Aveiro
10107;101;Castanheira do Vouga - Águeda - Aveiro
10108;101;Espinhel - Águeda - Aveiro
10109;101;Fermentelos - Águeda - Aveiro
10110;101;Lamas do Vouga - Águeda - Aveiro
10111;101;Macieira de Alcoba - Águeda - Aveiro
10112;101;Macinhata do Vouga - Águeda - Aveiro
10113;101;Óis da Ribeira - Águeda - Aveiro
10114;101;Préstimo - Águeda - Aveiro
10115;101;Recardães - Águeda - Aveiro
10116;101;Segadães - Águeda - Aveiro
10117;101;Travassô - Águeda - Aveiro
10118;101;Trofa - Águeda - Aveiro
10119;101;Valongo do Vouga - Águeda - Aveiro
10120;101;Borralha - Águeda - Aveiro
10201;102;Albergaria-a-Velha - Albergaria-a-Velha - Aveiro
10202;102;Alquerubim - Albergaria-a-Velha - Aveiro
10203;102;Angeja - Albergaria-a-Velha - Aveiro
10204;102;Branca - Albergaria-a-Velha - Aveiro
10205;102;Frossos - Albergaria-a-Velha - Aveiro
10206;102;Ribeira de Fráguas - Albergaria-a-Velha - Aveiro
10207;102;São João de Loure - Albergaria-a-Velha - Aveiro
10208;102;Valmaior - Albergaria-a-Velha - Aveiro
10301;103;Amoreira da Gândara - Anadia - Aveiro
10302;103;Ancas - Anadia - Aveiro
10303;103;Arcos - Anadia - Aveiro
10304;103;Avelãs de Caminho - Anadia - Aveiro
10305;103;Avelãs de Cima - Anadia - Aveiro
10306;103;Mogofores - Anadia - Aveiro
10307;103;Moita - Anadia - Aveiro
10308;103;Óis do Bairro - Anadia - Aveiro
10309;103;Sangalhos - Anadia - Aveiro
10310;103;São Lourenço do Bairro - Anadia - Aveiro
10311;103;Tamengos - Anadia - Aveiro
10312;103;Vila Nova de Monsarros - Anadia - Aveiro
10313;103;Vilarinho do Bairro - Anadia - Aveiro
10314;103;Paredes do Bairro - Anadia - Aveiro
10315;103;Aguim - Anadia - Aveiro
10401;104;Albergaria da Serra - Arouca - Aveiro
10402;104;Alvarenga - Arouca - Aveiro
10403;104;Arouca - Arouca - Aveiro
10404;104;Burgo - Arouca - Aveiro
10405;104;Cabreiros - Arouca - Aveiro
10406;104;Canelas - Arouca - Aveiro
10407;104;Chave - Arouca - Aveiro
10408;104;Covelo de Paivó - Arouca - Aveiro
10409;104;Escariz - Arouca - Aveiro
10410;104;Espiunca - Arouca - Aveiro
10411;104;Fermedo - Arouca - Aveiro
10412;104;Janarde - Arouca - Aveiro
10413;104;Mansores - Arouca - Aveiro
10414;104;Moldes - Arouca - Aveiro
10415;104;Rossas - Arouca - Aveiro
10416;104;Santa Eulália - Arouca - Aveiro
10417;104;São Miguel do Mato - Arouca - Aveiro
10418;104;Tropeço - Arouca - Aveiro
10419;104;Urrô - Arouca - Aveiro
10420;104;Várzea - Arouca - Aveiro
